Shloka Number,Title,Head Word,Sub-Head Word,Synonyms,Rasa,Guna,Virya,Vipaka,Karma,,,,
28-29,अथ उत्तमहरीतक्या लक्षणान्याह,,,,,"स्निग्धा, घना, वृत्तागुर्वी  ",,,"क्षिप्ता, अम्भसि - अतिगुणप्रदा",,,,
30-33,अथ हरीतक्याः प्रयोगभेदेन फलभेदानाह,,,,,,,,"अग्निवर्धका, मलशोधिनी, स्विन्ना, संग्राहिणी, पथ्या, भृष्टा, त्रिदोषनुत्, बुद्धिबल-इन्द्रिय-उन्मीलिनी, पित्तकफननिर्मूलिनी, मूत्र-शकृत् -लविस्रंसिनी, अन्नपानकृतदोष-अन्वात-पित्त-कफोद्भव आशुहरा, लवणेन कफहरा, सशर्करया पित्तहरा, घृतेन वातजान्, गुडान्वितसर्वरोगहर",,,,
34,अथ रसायनगुणार्थीनां कृते हरीतकीप्रयोगविधिमाह,,,,,,,,,,,,
35,अथ हरीतकी भक्षणानर्हजनानाह,,,,,,,,,,,,
,,,,,,,,,,,,,
35-37,अथ विभीतकस्य नामानि गुणान् चाह,विभीतकः (त्रिलिङ्गकः),,"अक्ष, कर्षफल, कलिद्रुम, भूतवास, कलियुगालय",कषाय,"शीतल, रूक्ष, लघु",उष्ण,मधुर,"कफपित्तनुत्, भेदन, कासनाशन, नेत्रहित, केश्य, कृमिवैस्वर्यनाशन, मज्जा-तृट्-छर्दि-कफवातहर, मदकृत्",,,,
38-41,अथ आमलक्या नामानि गुणान् चाह,आमलकी,,"वयस्या, आमलकी, वृष्या, जातीफलरसा, शिव, धात्रीफल, श्रीफल, अमृतफल","आम्ल, मधुर, कषाय ",रूक्ष,उष्ण अथवा शीत,,"रक्त-पित्त-प्रमेहघ्न, वृष्य, रसायन, वातह, त्रिदोषजित्",,,,
42-43,अथ त्रिफलाया लक्षणनामगुणानाह,त्रिफला,पथ्या-बिभीत-धात्रीफलैः समैः त्रिफला,-,,,,,"कफ-पित्तघ्नी, मेह-कुष्ठहरा, सरा, चक्षुष्या, दीपनी, रुच्या, विषम-ज्वरनाशिनी",,,,
44-48,अथ शुण्ठ्यानामानि गुणान् चाह,शुण्ठी,,"शुण्ठी, विश्वा, विश्व, नागर, विश्वभेषज, ऊषण, कटुभद्र, शृङ्गवेर, महौषध ",कटु,"लघु, स्निग्ध",उष्ण,मधुर,"रुच्या, आम-वातघ्नी, पाचनी, कफ-वात-विबन्धनुत्, वृष्या, स्वर्य्या-वमि-श्वास-शूल-कास-हृदामय-श्लीपद-शोथार्श, आनाह -उदरमारुतहरा",,,,
49-52,अथ आर्द्रकस्य नामानि गुणान् चाह,आर्द्रकम्,,"आर्द्रकम्, शृङ्गबेर, कटुभद्र, आर्द्रिका ",कटु,"तीक्ष्ण, रूक्ष, गुरु ",उष्ण,मधुर,"भेदिनी, गुर्वी, दीपनी, वात-कफापहा, शुण्ठगुणसम",,,,
53-58,अथ पिप्पल्या नामानि गुणान् चाह,पिप्पली,,"पिप्पली, मागधी, कृष्णा, वैदेही, चपला, कणा, उपकुल्या, ऊषणा, शौण्डी, कोला, तीक्ष्णतण्डुला ",कटु,"अनुष्णा, स्निग्ध, लघु",,मधुर,"दीपनी, वृष्या, रसायनी, वात-श्लेष्महर, रेचनी, श्वास-कास-उदरज्वरहर, कुष्ठ-प्रमेह-गुल्मार्शः प्लीह-शूल-आम-मारुतनाशक",,,,
,,आर्द्रा,,,मधुरा,"स्निग्धा, शीतला, गुरु",,,"कफप्रदा, पित्तप्रशमनी",,,,
,,शुष्का,,,,,,,पित्तप्रकोपिणी,,,,
,,मधुसंयुक्ता,,,,,,,"मेदः-कफविनाशिनी, श्वास-कास-ज्वरहरी, वृष्या, मेध्या, अग्निवर्द्धिनी",,,,
,,,,,,,,,,,,,
59-61,अथ मरीचस्य नामानि गुणान् चाह,मरीचम्,,"मरीच, वेल्लज, कृष्ण, ऊषण, धर्मपत्तन ",कटु,"तीक्ष्ण, रूक्ष",उष्ण,,"दीपन, कफ-वातजित्, पित्तकर, श्वास-शूल-कृमिहर",,,,
,,आर्द्रम्,,,", कटु,","गुरु, तीक्ष्ण",उष्ण,मधुर,"श्लेष्मप्रसेकि, अपित्तल",,,,
62-63,अथ त्रिकुटकनामलक्षणगुणानाह,त्रिकटु,,कटुत्रिक त्रिकटु त्र्यूषण व्योष ,,,,,"त्र्यूषणं, दीपन, श्वास-कास-त्वगामयहर, गुल्म-मेह-कफ-स्थौल्य-मेदः-श्लीपद-पीनसहर",,,,
64-66,अथ पिप्पलीमूलस्य नामानि गुणान् चाह,पिप्पलीमूलम्,,"ग्रन्थिक, पिप्पलीमूल, ऊषण, चटकाशिर ",कटु,"लघु, रूक्ष",उष्ण,,"दीपन, पाचन, पित्तकर, भेदि, कफ-वातो-दरापह, आनाह-प्लीह-गुल्मघ्न, कृमि-श्वास-क्षयापह",,,,
67,अथ चव्यनामगुणानाह,चव्यम्,,"चव्य, चविका, ऊषण",कटु,"लघु, रूक्ष",उष्ण,,"गुदजापह, कणामूलगुणं ",,,,
68-69,अथ गजपिप्पल्या नामानि गुणान् चाह,गजपिप्पली,,"कपिवल्ली, कोलवल्ली, श्रेयसी, वशिर",कटु,,उष्ण,,"वात-श्लेष्मह, द्वह्निवर्धिनी, अतीसार-श्वास-कण्ठामय-क्रिमिहन्त्री",,,,
70-71,अथ चित्रकस्य नामानि गुणान् चाह,चित्रकम्,,"चित्रक, अनलनामा, पाठी, व्याल, ऊषण ",कटु,"लघु, रूक्ष",उष्ण,कटु,"वह्निकृत्, पाचन, ग्रहणी-कुष्ठ-शोथ-आर्श-कृमि-कासनुत्, वात-श्लेष्महरी, ग्राही, वातघ्न, श्लेष्म-पित्तहृत्",,,,
72-73,अथ पञ्चकोलस्य लक्षणगुणानाह,पञ्चकोलम्,,,कटु,तीक्ष्ण,उष्ण,कटु,"रुचिकृत्, पाचन, श्रेष्ठ, दीपन, कफ-वातनुत्, गुल्म-प्लीह-उदरानाह-शूलघ्न, पित्तकोपन",,,,
74,अथ षडूषणस्य लक्षणगुणानाह,षडूषणम्,,,,रूक्ष,उष्ण,,विषापह,,,,
75-77,अथ यवान्या नामानि गुणान् चाह,यवानिका ,,"यवानिका, उग्रगन्धा, ब्रह्मदर्भा, अजमोदिका, दीप्यका, दीप्या, यवसाह्वया","कटु, तिक्त","तीक्ष्ण, लघु",उष्ण,,"पाचनी, रुच्या, दीपनी, पित्तला शुक्र-शूलहृत्, वात-श्लेष्मो-उदर-आनाह-गुल्म-प्लीह-कृमिप्रणुत्",,,,
78-79,अथ अजामोदाया नामानि गुणान् चाह,अजमोदा,,"अजमोदा, खराश्वा, मायूरः, दीप्यक, ब्रह्मकुशा, कारवी, लोचमस्तका",कटु,"लघु, तीक्ष्ण",उष्ण,,"दीपनी, कफवातनुत्, विदाहिनी, हृद्या, वृष्या, बलकरी, नेत्रामय-कृमिच्छर्दि-हिक्का-बस्ति-रुजहर",,,,
80,अथ पारसीकयवानीगुणानाह,पारसीकयवनी,,,,गुरु,,,"पाचनी, रुच्या, ग्राहिणी, मादिनी",,,,
81-85,अथ शुक्लजीरक-कृष्णजीरककालिकानां नामानि गुणान् चाह,शुक्लजीरक,,"जीरक, जरण, अजाजी, कणा, दीर्घजीरक",कटु,"रूक्ष, लघु",उष्ण,,"दीपन, संग्राही, पित्तल, मेध्य, गर्भाशयविशुद्धिकृत्, ज्वरघ्न, पाचन, वृष्य, बल्य, रुच्य, कफापह, चक्षुष्य, पवन-अध्मान-गुल्म-च्छर्द्य-तिसारहृत्",,,,
,,कृष्णजीरक,,"कृष्णजीर, सुगन्ध, उद्गारशोधन  ",,,,,,,,,
,,कालिका,,"कालाजाजी, सुषवी, कालिका, उपकालिका, पृथ्वीका, कारवी, पृथ्वी, पृथु, कृष्णा, उपकुञ्चिका, उपकुञ्ची, कुञ्ची, बृहज्जीरक ",,,,,,,,,
86-88,अथ धान्यकस्य नामानि गुणान् चाह,धान्यकम्,,"धान्यक, धानक, धान्य, धाना, धानेयक, कुनटी, धेनुका, छत्रा, कुस्तुम्बुरु, वितुन्नक ","कषाय, तिक्त, कटु","स्निग्ध, लघु",उष्ण,मधुर,"अवृष्य, मूत्रल, दीपन, पाचन, ज्वरघ्न, रोचक, ग्राहि, त्रिदोषनुत्, तृष्णा-दाह-वमि-श्वास-कास-कार्श्य-क्रिमिप्रणुत्",,,,
,,आर्द्रम्,,,स्वादु,,,,पित्तनाशन,,,,
89-92,अथ शतपुष्पामिश्रेययोः नामानि गुणान् चाह,शतपुष्पा,,"शतपुष्पा, शताह्वा, मधुरा, कारवी, मिसि, अतिलम्बी, सितच्छत्रा, संहितच्छत्रिका",कटु,"तीक्ष्ण, लघु",उष्ण,,"पित्तकृत्, दीपनी, ज्वर-अनिल-श्लेष्म-व्रण-शूल-अक्षिरोगहृत्",,,,
,,मिश्रेया,,"छत्रा, शालेय, शालीन, मिश्रेया, मधुरा, मिसि ",,रूक्ष,उष्ण,,"निशूलनुत्, अग्निमान्द्यहरी, हृद्या, वद्धविट्कृमि-शुक्रहृत्, पाचनी, कास-वमि-श्लेष्म-अनिलाह्वरेत्",,,,
93-95,अथ मेथीवनमेथीनामगुणानाह,मेथी-वनमेथी,,"मेथिका, मेथिनी, मेथी, दीपनी, बहुपत्रिका, बोधिनी, बहुबीजा, ज्योतिः, गन्धफला, वल्लरी, चन्द्रिका, मन्था, मिश्रपुष्पा, कैरवी, कुञ्जिका, बहुपर्णी, पीतबीजा, मुनिच्छदा  ",,,,,"वातशामनी, श्लेष्मघ्नी, ज्वरनाशिनी, स्वल्पगुणवती",,,,
96-97,अथ चन्द्रशूरस्य नामानि गुणान् चाह,चन्द्रशूरः,,"चेन्द्रिका, चर्महन्त्री, पशुमेहनकारिका, नन्दिनी, कारवी, भद्रा, वासपुष्पा, सुवासरा",,,,,"हिक्का-वात-श्लेष्म-अतिसारिहित, असृग्वात-गदद्वेषि, बलपुष्टिविवर्द्धन",,,,
98-99,अथ चतुर्बीजगुणानाह,चतुर्बीजम्,"मेथिका, चन्द्रशूर, कालाऽजाजी, यवानिका",,,,,,पवन-आमय-अजीर्ण-शूलमाध्मान-पार्श्वशूल-कटिव्यथानिहन,,,,
100-101,अथ हिङ्गुनामगुणानाह,हिङ्गु,,"सहस्रवेधि, जतुक, बाह्लीक, हिङ्गु, रामठ",,तीक्ष्ण,उष्ण,,"पाचन, रुच्य, वातवलासनुत्, शूल-गुल्म-उदर-आनाहकृमिघ्न, पित्तवर्द्धन",,,,
102-103,अथ वचाया नामानि गुणान् चाह,वचा,,"वाचा, उग्रगन्धा, षड्ग्रन्था, गोलोमी, शतपर्विका, क्षुद्रपत्री, मङ्गल्या, जटिला, उग्रा, लोमशा ",,"तिक्त, कटु",उष्ण,,"उग्रगन्धा, वान्तिवह्निकृत्, विबन्धाध्मानशूलघ्नी, शकृन्मूत्रविशोधिनी, अपस्मार-कफ-उन्मांद-भूत-जन्तु-अनिलहर",,,,
104,अथ पारसीक वचाया नामानि गुणान् चाह,पारसीक (खुरासानी),,,,,,,वातहर,,,,
,,शुक्लवचा,,,,,,,,,,,
,,हैमवती,,,,,,,,,,,
105,अथ महाभीरवचा,महाभरीवचा (कुलिञ्जन) ,"सुगन्धा, उग्रगन्धा",,,,,,"कफ-कासनुत्, सुस्वरत्वकरी, रुच्या, हृत्कण्ठ-मुखशोधिनी",,,,
106,अथ अपरा सुगन्धा स्थूलग्रन्थिः यस्या लोके महाभरी इति नाम तस्या गुणानाह,,,,,,,,हीनगुणा,,,,
107,अथ चोबचीनीति लोके या प्रसिद्धा तस्या नाम गुणान् चाह,चोबचीनि,,द्वीपान्तरवचा ,,त्तिक्त,उष्ण,,"वह्निदीप्तिकृत्, विबन्ध -अध्मान-शूलघ्नी, शकृन्मूत्रविशोधिनी, वात-व्याधी-अपस्मार-उन्माद-तनुवेदनव्यपोह, विशेष-फिरङ्गामयनाशिनी",,,,
,,,,,,,,,,,,,
107-108,अथ हपुषाद्वयम्,हपुषाद्वयम्,,,,,,,,,,,
,,हपुषा,"मत्स्यसदृश, विस्रगन्ध","हपुषा, हबुषा, विस्रा","तिक्त, तुवर ","मृदु, गुरु",उष्ण,,"दीपनी, पित्त -उदर-समीर-आर्शो-ग्रहणी-गुल्म-शूलहृत्",,,,
,,हपुषा,"अश्वत्थफलसदृश, मत्स्यगन्ध, रूपभेद","अश्वत्थाफला, मत्स्यगन्धा, प्लीहहन्त्री, विषघ्नी, ध्वाङ्क्षनाशिनी",,,,,,,,,
109-112,अथ विडङ्गस्य नामानि गुणान् चाह,विडङ्गः,,"कृमिघ्न, जन्तुनाशन, तण्डुल, वेल्ल, अमोघा, चित्रतण्डुल    ","कटु, तिक्त","रूक्ष, लघु",उष्ण,,"वह्निकर, शूल-अध्मान-उदर-श्लेष्म-कृमि-वात-विबन्धनुत्",,,,
,,नाडीहिङ्गु,,"नाडीहिङ्गु, पलाशाख्या, जन्तुका, रामठी, वंशपत्री, पिण्डाह्वा, सुवीर्य्या, हिङ्गुनाडिका ",कटु,तीक्ष्ण,उष्ण,,"दीपक, कफ-वात-मल-स्तम्भ-मनो-मोह-आमनाशन",,,,
113-115,अथ तुम्बुरुफलस्य नामानि गुणान् चाह,तुम्बुरु,,"तुम्बरु, सौरभ, सौर, वनज, सानुज, अन्धक ","तिक्त, कटु","रूक्ष, तीक्ष्ण, लघु",उष्ण,कटु,"दीपन, रुच्य, विदाहि, वातश्लेष्म-अक्षि-कर्ण-ओष्ठ-शिरोरुक्-गुरुता-कृमि-कुष्ठ-शूल-अरुचि-श्वास-प्लीह-मूत्रकृच्छ्रनाशक",,,,
116-117,अथ वंशलोचनस्य नामानि गुणान् चाह,वंशलोचनः,,"वंशरोचना, वांशी, तुगाक्षीरी, तुगा, शुभा, त्वक्क्षीरी, वंशजा, शुभ्रा, वंशक्षीरी, वैणवी  ","कषाय, स्वादु",,शीतल,,"बृंहणी, वृष्या, बल्या, तृष्णा-कास-ज्वर-श्वास-क्षय-पित्तास्र-कामल-कुष्ठ-व्रण-पाण्डु-वातकृच्छ्रजित्",,,,
118-119,अथ समुद्रफेनस्य नामानि गुणान् चाह,समुद्रफेनः,,"समुद्रफेन, फेन, हिण्डीर, अब्धिकफ",कषाय,,शीतल,,"चक्षुष्य, लेखन, विषपित्तघ्न, कर्णरुक् -क्कफहृत्सर",,,,
120-122,अथ अष्टवर्गस्य लक्षणगुणानाह,अष्टवर्गः,,,स्वादु,गुरु,शीत,,"बृंहण, शुक्रल, भग्नसन्धानकृत्, काम-कफ-बला-सबल-वर्द्धन, वात-पित्त-अस्रतृड्-दाह-ज्वर-मेहक्षयप्रणुत्",,,,
123-125,तत्रादौ जीवकर्षभकयोरुत्पत्तिलक्षणगुणानाह,जीवकर्षभकौ,,,,,,,,,,,
,,जीवक,,"जीवक, मधुर, शृङ्ग, ह्रस्वाङ्ग, कूर्चशीर्षक ",मधुर,,शीत,,"बल्य, शुक्रकफप्रद, पित्त-दाह-अस्र-कार्श्य-वात-क्षयापह",,,,
,,ऋषभक,,"ऋषभ, वृषभ, धीर, विषाणी, द्राक्ष",,,,,,,,,
126-131,अथ मेदामहा मेदयोरुत्पत्तिलक्षणगुणानाह,मेदामहामेदौ,,,,,,,,,,,
,,मेदा,,"शल्यपर्णी, मणिच्छिद्रा, मेदा, मेदोभवा, अध्वरा",स्वादु,गुरु,शीत,,"वृष्य, स्तन्यकफावह, बृंहण, पित्त-रक्त-वात-ज्वरप्रणुत्",,,,
,,महामेदा,,"महामेदा, वसुच्छिद्रा, त्रिदन्ती, देवतामणि",,,,,,,,,
132-137,अथ काकोलीक्षीरकाकोल्योरुत्पत्तिलक्षणगुणानाह,काकोलीक्षीरकाकोल्यौ,,,,,,,,,,,
,,काकोली,,"काकोली, वायसोली, वीरा, कायस्थिता ",मधुर,गुरु,शीत,,"शुक्रवर्धक, बृंहण, वात-दाहा-अस्र-पित्त-शोष-ज्वरापह",,,,
,,क्षीरकाकोली,,"शुक्ला, क्षीरकाकोली, वयस्था, क्षीरवल्लिका, क्षीरिणी, धीरा, क्षीरशुक्ला, पयस्विनी ",,,,,,,,,
138-143,अथ ऋद्धिवृद्ध्योरुत्पत्तिलक्षणगुणानाह,ऋद्धिवृद्ध्यौ,,"योग्य, सिद्धि, लक्ष्मी ",,,,,,,,,
,,ऋद्धिः,,,मधुर,गुरु,,,"बल्या, त्रिदोषघ्नी, शुक्ला, प्राणैश्वर्यकरी, मूर्च्छा-रक्त-पित्त-विनाशिनी",,,,
,,वृद्धिः,,,मधुर,,शीत,,"गर्भप्रदा, बृंहणी, वृष्या, पित्तास्रशमनी, क्षतकासक्षयापहा",,,,
144,अथ अष्टवर्गस्य प्रतिनिधिमाह,,,,,,,,,,,,
145-146,अथ यष्टीमधुनामगुणानाह,यष्टीमधु,,"यष्टीमधु, यष्टीमधुक, क्लीतनक ",मधुर,"गुरु, स्निग्ध",शीत,,"चक्षुष्या, बलवर्णकृत्, शुक्रला, केश्या, स्वर्या, पित्त-अनिल-अस्रजित्, व्रण-शोथ-विषच्छर्दि-तृष्णा-ग्लानि-क्षयापहा",,,,
,,,,,,,,,,,,,
147,अथ काम्पिल्लस्य नामगुणानाह,काम्पिल्लः,,"काम्पिल्ल, कर्कश, चन्द्र, रक्ताङ्ग, रोचन",कटु,,उष्ण,,"कफ-पित्त-अस्र-कृमि-गुल्म-उदर-व्रणहर, रेची, मेह-आनाह-विषाश्मनुत्",,,,
148-150,अथ आरग्वधस्य नामगुणानाह,आरग्वधः,,"आरग्वध, राजवृक्ष, शम्पाक, चतुरङ्गुल, आरवेत, व्याधिघात, कृतमाल, सुवर्णक, कर्णिकार, दीर्घफल, स्वर्णाङ्ग, स्वर्णफल   ",मधुर,गुरु,शीत,,"ज्वर-हृद्रोग-पित्त-अस्र-वातोदावर्त्त-शूलनुत्, रुच्य, कुष्ठ-पित्त-कफापह, कोष्ठशुद्धिकर, स्रंसन ",,,,
151-152,अथ कटुकाया नामगुणानाह,कटुका,,"कट्वी, कटुका, तिक्ता, कृष्णमेदा, कटम्भरा, अशोका, मत्स्यशकला, चक्राङ्गी, शकुलादनी, मत्स्यपित्ता, काण्डरुहा, रोहिणी, कटुरोहिणी ",तिक्त,"रूक्ष, लघु",शीत,कटु ,"भेदिनी, दीपनी, हृद्या, कफ-पित्त-ज्वरापह, प्रमेह-श्वास-कासा-अस्र-दाह-कुष्ठ-क्रिमिप्रणुत्",,,,
153-155,अथ किरातकस्य नामगुणानाह,किरातकः,नैपालकिरातकः - ज्वरान्तक,"किराततिक्त, कैरात, कटुतिक्त, किरातक, काण्डतिक्त, अनार्यतिक्त, भूनिम्ब, रामसेनक",तिक्त,"रूक्ष, लघु, सारक",शीत,,"सन्निपात-ज्वर-श्वास-कफ-पित्त-अस्र-दाहनुत्, कास-शोथ-तृषा-कुष्ठ-ज्वर-व्रण-कृमिप्रणुत्",,,,
156-159,अथ इन्द्रस्य नामगुणानाह,इन्द्रयवः,,"कटुजबीज, यव, इन्द्रयव, कलिङ्ग, भद्रयव ",कटु,,शीत,,"त्रिदोषघ्न, संग्राहि, ज्वर-अतीसार-रक्ता-आर्शो-वमि-वीसर्प-कुष्ठनुत्, दीपन, गुदकीलास्र-वात-अस्रश्लेष्म-शूलजित्",,,,
,,,,,,,,,,,,,
,इति क्लीबे अमरोप्याह,,,,,,,,,,,,
,इति धन्वन्तरिः प्राह,,,,,,,,,,,,
,,,,,,,,,,,,,
160,अथ मदनस्य नामगुणानाह,मदनः,,"मदन, छर्दन, पिण्ड, नट, पिण्डीतक, करहाट, मरुवक, शल्यक, विषपुष्पक ","मधुर, तिक्त",लघु,उष्ण,,"लेखन, वान्तिकृद् -विद्रधिहर, प्रतिश्यायव्रणान्तक, कुष्ठ-कफा-आनाह-शोथ-गुल्म-व्रणापह",,,,
162-164,अथ रास्नाया नामगुणानाह,रास्ना,,"रास्ना, युक्तरसा, रस्या, रसना, सुवहा, रसा, एलापर्णी, सुरसा, सुगन्धा, श्रेयसी, ",तिक्त,गुरु,उष्ण,,"आमपाचिनी, कफवातजित्, शोथ-श्वास-समीरा-अस्र-वात-शूलो-उदरापह, कास-ज्वर-विषा-अशीति-वातिकामय-सिध्महृत्",,,,
165-166,अथ नाकुली नामगुणानाह,नाकुली,,"नाकुली, सुरसा, नागसुगन्धा, गन्धनाकुली, नकुलेष्टा, भुजङ्गाक्षी, सर्पाङ्गी, विषनाशिनी  ","तुवर, तिक्त, कटु",,उष्ण,,भोगि-लूता-वृश्चिका-आखु-विष-ज्वर-कृमि-व्रणविनाशक,,,,
,,,,,,,,,,,,,
167-168,अथ माचिका,माचिका,,"माचिका, प्रस्थिका, अम्बष्ठा, अम्बालिका, अम्बिका, मयूरविदला, केशी, सहस्रा, बालमूलिका ","कषाय, आम्ल",लघु,शीत,कषाय ,पक्वा-अतीसा-रपित्ता-अस्र-कफ-कण्ठामयापह,,,,
169-170,अथ तेजवती,तेजवती,,"तेजस्विनी, तेजवती, तेजोह्वा, तेजनी ","कटु, तिक्त",,उष्ण,,"कफ-श्वास-कासा-आस्यामय-वातहृत्, पाचनी, रुचिवह्निप्रदीपिनी",,,,
171-172,अथ ज्योतिष्मती तस्या नामानि गुणान् चाह,ज्योतिष्मती,,"ज्योतिष्मती, कष्टमी, ज्योतिष्का, कङ्गुनी, पारावतपदी, पिण्या, लता, ककुन्दिनी ","कटु, तिक्त",तीक्ष्ण,उष्ण,,"सरा, कफसमीरजित्, वामनी, वह्निबुद्धिस्मृतिप्रदा",,,,
173,अथ कुष्ठम्। तस्य नामानि गुणान् चाह,कुष्ठम्,,"कुष्ठ, रोगाह्वय, वाप्य, परिभाव्य, उत्पल  ","कटु, मधुर, तिक्त",लघु,उष्ण ,,"शुक्रल, वाता-अस्र-वीसर्प-कास-कुष्ठ-मरुत्- कफह",,,,
174-175,"अथ कुष्ठभेद पुष्करमूलम्, तस्य नामानि गुणान् चाह",पुष्करमूलम्,,"पुष्करमूल, पौष्कर, पुष्कर, पद्मपत्र, काश्मीर, कुष्ठभेद  ","कटु, तिक्त",,,,"वात-कफ-ज्वरापह, शोथ-अरुचि-श्वासा-त्पार्श्वशूलनुत्",,,,
176,अथ कटुपर्णी तस्या नामानि गुणान् चाह,कटुपर्णी,,"कटुपर्णी, हैमवती, हेमक्षीरी, हिमावती, हेमाह्वा, पीतदुग्धा ",तिक्त,,,,"रेचनी, भेदिनी, उत्वलेशकारिणी, कृमि-कण्डू-विष-आनाह-कफ-पित्ता-आस्र-कुष्ठनुत्",,,,
,,कर्कशृङ्गी,,"शृङ्गी, कर्कटश्रुङ्गी, कुलीरविषाणिका, अजश्रुङ्गी, चक्रा, कर्कटाख्या ","कषाय, तिक्त",,उष्ण,,कफ-वात-क्षय-ज्वर-श्वासो-उर्ध्व-वात-तृट्कास-हिक्काऽ-अरुचि-र्वमीन्हर,,,,
180-181,अथ कट्फलस्य तस्या नामानि गुणान् चाह,कट्फलम्,,"कटफल, सोमवल्क, कैटर्य, कुम्भिका, श्रीपर्णिका, कुमुदिका, भद्रा, भद्रवती ","कषाय, तिक्त, कटु",,,,वात-कफ-ज्वर-श्वास-प्रमेहा-आर्श-कास-कण्ठामया-अरुचीहर,,,,
182-183,अथ भार्गी तस्या नामानि गुणान् चाह,भार्गी (भारङ्गी),,"भार्गी, भृगुभवा, पद्मा, फञ्जी, ब्राह्मणयष्टिका, ब्राह्मणी, अङ्गारवल्ल, खरशाक, हञ्जिका  ","कटु, तिक्त, तुवर","रूक्ष, लघु",उष्ण,,"पाचनी, दीपनी, गुल्म-रक्तदोष-शोथ-कास-कफ-श्वास-पीनस-ज्वर-मारुतहर",,,,
184-185,"अथ पाषणभेदः, तस्य नामानि गुणान् चाह",पाषणभेद,,,"तिक्त, कषाय",,शीत,,"अश्मघ्न, बस्तिशोधन, भेदन, दोष-आर्शो-गुल्म-कृच्छ्रा-अश्म-हृद्रुजह, योनिरोगा प्रमेह-प्लीह-शूल-व्रणहर",,,,
185-186,अथ धातकी तस्या नामानि गुणान् चाह,धातकी,,"धातकी, धातुपुष्पी, ताम्रपुष्पी, कुञ्जरा, सुभिक्षा, बहुपुष्पी, वह्निज्वाला ","कटु, कषाय",लघु,"शीत,",,"मृदुकृत्, तृष्णा-अतीसार-पित्ता-अस्र-विष-क्रिमि-विसर्पजित्",,,,
